question_id,label,response,difficulty,input_tokens,output_tokens,total_tokens,correct
sample_1,C,C,advanced,27438,17312,44750,1
sample_4,D,D,advanced,14318,7995,22313,1
sample_5,B,B,advanced,19618,13169,32787,1
sample_7,A,A,advanced,18131,11552,29683,1
sample_8,A,A,advanced,15893,11323,27216,1
sample_9,C,C,advanced,19012,11704,30716,1
sample_12,E,E,advanced,13740,8425,22165,1
sample_15,A,A,advanced,17057,10483,27540,1
sample_16,E,C,advanced,17635,11149,28784,0
sample_20,A,A,advanced,13257,6983,20240,1
sample_21,A,C,advanced,18630,11567,30197,0
sample_22,B,B,advanced,17026,10423,27449,1
sample_26,D,D,advanced,12957,8698,21655,1
sample_33,B,B,advanced,16246,10802,27048,1
sample_36,C,C,advanced,14308,9470,23778,1
sample_39,D,D,advanced,14419,8873,23292,1
sample_42,D,D,advanced,16858,10217,27075,1
sample_50,A,A,advanced,20394,11984,32378,1
sample_55,E,E,advanced,14301,9263,23564,1
sample_56,C,B,advanced,16020,10185,26205,0
sample_59,B,B,advanced,14647,9577,24224,1
sample_60,D,B,advanced,16605,10107,26712,0
sample_61,A,B,advanced,16280,10564,26844,0
sample_63,A,A,advanced,20477,11763,32240,1
