question_id,label,response,difficulty,input_tokens,output_tokens,total_tokens,correct
sample_1,C,C,advanced,32983,21285,54268,1
sample_2,B,A,advanced,27849,18946,46795,0
sample_3,D,D,advanced,31113,20448,51561,1
sample_4,D,D,advanced,30617,20096,50713,1
sample_5,B,B,advanced,29094,19758,48852,1
sample_6,B,B,advanced,31882,21997,53879,1
sample_7,A,A,advanced,30080,19995,50075,1
sample_8,A,A,advanced,24842,18129,42971,1
sample_9,C,C,advanced,29286,19339,48625,1
sample_10,C,C,advanced,27856,18391,46247,1
sample_11,C,C,advanced,15860,10491,26351,1
sample_12,E,E,advanced,28692,19450,48142,1
sample_13,B,,advanced,27610,20268,47878,0
sample_14,C,C,advanced,23116,15415,38531,1
sample_15,A,A,advanced,31023,20768,51791,1
sample_16,E,E,advanced,35477,22378,57855,1
sample_17,A,A,advanced,24891,15498,40389,1
sample_18,D,D,advanced,33710,21199,54909,1
sample_19,D,A,advanced,26770,17574,44344,0
sample_20,A,A,advanced,23099,14851,37950,1
sample_21,A,C,advanced,24150,15318,39468,0
sample_22,B,B,advanced,30323,19993,50316,1
sample_23,B,B,advanced,23892,16243,40135,1
sample_24,C,C,advanced,25338,17603,42941,1
sample_25,E,E,advanced,26284,18868,45152,1
sample_26,D,D,advanced,25040,16780,41820,1
sample_27,D,C,advanced,27492,18759,46251,0
sample_28,D,D,advanced,18926,13360,32286,1
sample_29,B,B,advanced,22083,14254,36337,1
sample_30,D,D,advanced,28086,17396,45482,1
sample_31,D,E,advanced,26537,17584,44121,0
sample_32,B,B,advanced,25365,15726,41091,1
sample_33,B,B,advanced,27562,19969,47531,1
sample_34,D,D,advanced,23449,16141,39590,1
sample_35,B,B,advanced,29987,19396,49383,1
sample_36,C,C,advanced,26693,18815,45508,1
sample_37,A,C,advanced,23105,14442,37547,0
sample_38,E,E,advanced,24047,16426,40473,1
sample_39,D,D,advanced,26929,17638,44567,1
sample_40,C,A,advanced,24998,17651,42649,0
sample_41,D,D,advanced,24974,15894,40868,1
sample_42,D,A,advanced,21366,13569,34935,0
sample_43,D,E,advanced,26332,17428,43760,0
sample_44,A,A,advanced,24622,16946,41568,1
sample_45,A,A,advanced,26139,17522,43661,1
sample_46,E,C,advanced,22662,16589,39251,0
sample_47,A,B,advanced,2455,2450,4905,0
sample_48,A,D,advanced,25191,16441,41632,0
sample_49,C,C,advanced,29106,19398,48504,1
sample_50,A,A,advanced,21583,13541,35124,1
sample_51,C,C,advanced,30644,19861,50505,1
sample_52,B,C,advanced,23730,15122,38852,0
sample_53,D,D,advanced,26257,19786,46043,1
sample_54,D,D,advanced,33212,23272,56484,1
sample_55,E,E,advanced,27072,17420,44492,1
sample_56,C,B,advanced,90448,35118,125566,0
sample_57,D,D,advanced,22714,15321,38035,1
sample_58,B,B,advanced,32477,20402,52879,1
sample_59,B,B,advanced,24414,16339,40753,1
sample_60,D,B,advanced,29200,20246,49446,0
sample_61,A,B,advanced,24510,16012,40522,0
sample_62,C,C,advanced,22075,14805,36880,1
sample_63,A,A,advanced,30039,19454,49493,1
