question_id,label,response,difficulty,input_tokens,output_tokens,total_tokens,correct
sample_1,C,C,basic,269,994,1263,1
sample_2,E,E,basic,226,675,901,1
sample_3,C,C,basic,412,1330,1742,1
sample_4,D,D,basic,437,2033,2470,1
sample_5,B,B,basic,280,726,1006,1
sample_6,E,C,basic,228,1274,1502,0
sample_7,D,B,basic,214,3114,3328,0
sample_8,C,C,basic,301,1272,1573,1
sample_9,C,C,basic,262,573,835,1
sample_10,A,A,basic,232,619,851,1
sample_11,E,E,basic,394,698,1092,1
sample_12,D,D,basic,372,1230,1602,1
sample_13,B,B,basic,214,542,756,1
sample_14,E,E,basic,250,1591,1841,1
sample_15,D,D,basic,247,704,951,1
sample_16,B,D,basic,295,1851,2146,0
sample_17,E,E,basic,320,1231,1551,1
sample_18,E,E,basic,302,736,1038,1
sample_19,B,B,basic,338,1365,1703,1
sample_20,E,C,basic,264,1056,1320,0
sample_21,C,C,basic,316,1222,1538,1
sample_22,A,D,basic,270,1316,1586,0
sample_23,D,D,basic,383,1934,2317,1
sample_24,E,A,basic,348,1607,1955,0
sample_25,A,A,basic,422,1102,1524,1
sample_26,E,E,basic,182,1221,1403,1
sample_27,E,E,basic,302,863,1165,1
sample_28,A,A,basic,315,795,1110,1
sample_29,D,D,basic,392,2488,2880,1
sample_30,D,D,basic,325,1046,1371,1
sample_31,E,E,basic,357,1386,1743,1
sample_32,C,D,basic,211,1236,1447,0
sample_33,E,E,basic,337,1698,2035,1
sample_34,B,A,basic,244,2897,3141,0
sample_35,B,A,basic,468,2132,2600,0
sample_36,A,A,basic,245,1020,1265,1
sample_37,E,E,basic,191,971,1162,1
sample_38,A,A,basic,220,886,1106,1
sample_39,E,E,basic,387,2144,2531,1
sample_40,A,A,basic,294,972,1266,1
sample_41,D,D,basic,371,1127,1498,1
sample_42,C,C,basic,501,861,1362,1
sample_43,A,A,basic,388,986,1374,1
sample_44,C,C,basic,181,675,856,1
sample_45,B,D,basic,366,1321,1687,0
sample_46,E,A,basic,321,3890,4211,0
sample_47,C,C,basic,280,512,792,1
sample_48,A,A,basic,349,1173,1522,1
sample_49,B,B,basic,285,940,1225,1
sample_50,D,D,basic,277,2308,2585,1
sample_51,E,E,basic,175,598,773,1
sample_52,A,A,basic,360,1637,1997,1
sample_53,D,D,basic,220,1232,1452,1
sample_54,D,C,basic,199,650,849,0
sample_55,B,B,basic,233,752,985,1
sample_56,B,B,basic,284,855,1139,1
sample_57,C,C,basic,170,602,772,1
sample_58,B,B,basic,308,915,1223,1
sample_59,C,E,basic,469,1295,1764,0
sample_60,A,C,basic,313,934,1247,0
sample_61,D,D,basic,271,780,1051,1
sample_62,A,A,basic,201,735,936,1
sample_63,D,C,basic,351,2060,2411,0
sample_64,A,A,basic,413,1020,1433,1
sample_65,A,A,basic,320,1196,1516,1
sample_66,C,C,basic,267,869,1136,1
sample_67,D,D,basic,297,817,1114,1
sample_68,C,C,basic,353,939,1292,1
sample_69,D,D,basic,317,1206,1523,1
sample_70,A,A,basic,324,2242,2566,1
sample_71,A,A,basic,484,1451,1935,1
sample_72,A,A,basic,297,896,1193,1
sample_73,C,C,basic,511,2010,2521,1
sample_74,B,B,basic,276,2380,2656,1
sample_75,C,C,basic,374,1541,1915,1
sample_76,A,,basic,232,776,1008,0
sample_77,B,B,basic,317,1200,1517,1
sample_78,B,D,basic,245,1385,1630,0
sample_79,D,D,basic,237,1106,1343,1
sample_80,C,C,basic,363,944,1307,1
sample_81,B,B,basic,183,815,998,1
sample_82,B,B,basic,227,1289,1516,1
sample_83,C,C,basic,238,842,1080,1
sample_84,B,B,basic,398,1356,1754,1
sample_85,D,D,basic,334,969,1303,1
sample_86,C,C,basic,332,1112,1444,1
sample_87,C,C,basic,294,1295,1589,1
sample_88,D,D,basic,478,961,1439,1
sample_89,C,B,basic,358,1213,1571,0
sample_90,C,C,basic,344,921,1265,1
sample_91,E,E,basic,310,1112,1422,1
sample_92,B,B,basic,286,1496,1782,1
sample_93,D,D,basic,262,813,1075,1
sample_94,E,E,basic,352,977,1329,1
sample_95,C,C,basic,346,993,1339,1
sample_96,D,D,basic,319,907,1226,1
sample_97,A,A,basic,348,1656,2004,1
sample_98,B,B,basic,230,1098,1328,1
sample_99,C,C,basic,216,873,1089,1
sample_100,C,C,basic,225,632,857,1
sample_101,E,E,basic,376,1347,1723,1
sample_102,A,A,basic,218,646,864,1
sample_103,A,A,basic,169,501,670,1
sample_104,A,A,basic,375,1308,1683,1
sample_105,C,C,basic,333,1427,1760,1
sample_106,B,B,basic,271,1031,1302,1
sample_107,C,A,basic,317,1587,1904,0
sample_108,A,A,basic,239,4119,4358,1
sample_109,E,E,basic,270,1306,1576,1
sample_110,C,C,basic,357,1358,1715,1
sample_111,D,D,basic,496,2624,3120,1
sample_112,C,C,basic,345,1347,1692,1
sample_113,B,A,basic,330,910,1240,0
sample_114,D,D,basic,289,1300,1589,1
sample_115,D,D,basic,310,1212,1522,1
sample_116,E,E,basic,191,949,1140,1
sample_117,D,D,basic,272,1299,1571,1
sample_118,D,D,basic,422,873,1295,1
sample_119,E,E,basic,391,1221,1612,1
sample_120,C,C,basic,282,991,1273,1
sample_121,D,D,basic,305,1221,1526,1
sample_122,B,B,basic,328,610,938,1
sample_123,E,E,basic,310,1057,1367,1
sample_124,A,A,basic,358,1842,2200,1
sample_125,B,B,basic,178,684,862,1
sample_126,A,A,basic,274,848,1122,1
sample_127,A,A,basic,404,1388,1792,1
sample_128,D,D,basic,254,697,951,1
sample_129,A,C,basic,393,1240,1633,0
sample_130,A,A,basic,366,956,1322,1
sample_131,B,B,basic,402,970,1372,1
sample_132,B,B,basic,232,958,1190,1
sample_133,A,A,basic,372,1257,1629,1
sample_134,B,B,basic,253,803,1056,1
sample_135,A,A,basic,223,730,953,1
sample_136,C,C,basic,275,762,1037,1
sample_137,D,D,basic,223,909,1132,1
sample_138,E,E,basic,320,834,1154,1
sample_139,C,C,basic,311,1160,1471,1
sample_140,D,C,basic,235,2802,3037,0
sample_141,D,D,basic,286,819,1105,1
sample_142,A,A,basic,492,998,1490,1
sample_143,A,A,basic,232,718,950,1
sample_144,B,B,basic,212,858,1070,1
sample_145,D,A,basic,273,1770,2043,0
sample_146,D,D,basic,340,2274,2614,1
sample_147,D,D,basic,272,904,1176,1
sample_148,D,D,basic,329,956,1285,1
sample_149,B,B,basic,295,899,1194,1
sample_150,E,A,basic,308,789,1097,0
sample_151,A,B,basic,399,2669,3068,0
sample_152,E,E,basic,185,849,1034,1
sample_153,A,A,basic,257,851,1108,1
sample_154,A,A,basic,270,586,856,1
sample_155,D,D,basic,336,1367,1703,1
sample_156,E,E,basic,360,1968,2328,1
sample_157,B,B,basic,354,631,985,1
sample_158,A,A,basic,218,990,1208,1
sample_159,D,D,basic,561,1450,2011,1
sample_160,C,C,basic,433,1468,1901,1
sample_161,D,C,basic,312,2214,2526,0
sample_162,B,B,basic,300,480,780,1
sample_163,D,D,basic,262,1136,1398,1
sample_164,A,A,basic,299,1210,1509,1
sample_165,A,A,basic,322,924,1246,1
sample_166,B,B,basic,257,815,1072,1
sample_167,B,B,basic,259,964,1223,1
sample_168,D,,basic,294,1041,1335,0
sample_169,B,B,basic,316,986,1302,1
sample_170,D,D,basic,229,859,1088,1
sample_171,C,C,basic,247,770,1017,1
sample_172,D,C,basic,307,1349,1656,0
sample_173,C,C,basic,253,748,1001,1
sample_174,A,A,basic,238,1343,1581,1
sample_175,E,E,basic,259,1420,1679,1
sample_176,D,D,basic,348,1141,1489,1
sample_177,E,E,basic,269,508,777,1
sample_178,D,D,basic,289,1083,1372,1
sample_179,D,D,basic,303,3151,3454,1
sample_180,D,A,basic,308,3390,3698,0
sample_181,B,D,basic,502,4141,4643,0
sample_182,E,E,basic,233,599,832,1
sample_183,B,B,basic,353,948,1301,1
sample_184,E,C,basic,294,1057,1351,0
sample_185,B,B,basic,349,1030,1379,1
sample_186,D,D,basic,348,1484,1832,1
sample_187,C,C,basic,270,909,1179,1
sample_188,B,B,basic,195,884,1079,1
sample_189,E,E,basic,296,1554,1850,1
sample_190,C,C,basic,251,1070,1321,1
sample_191,A,A,basic,322,1214,1536,1
sample_192,D,D,basic,211,803,1014,1
sample_193,E,E,basic,276,795,1071,1
sample_194,C,C,basic,212,786,998,1
sample_195,C,C,basic,272,948,1220,1
sample_196,C,C,basic,261,1015,1276,1
sample_197,A,A,basic,227,4181,4408,1
sample_198,C,C,basic,358,1096,1454,1
sample_199,E,C,basic,252,719,971,0
sample_200,D,D,basic,214,974,1188,1
sample_201,B,B,basic,347,735,1082,1
sample_202,B,B,basic,230,899,1129,1
sample_203,D,C,basic,284,719,1003,0
sample_204,A,C,basic,325,1115,1440,0
sample_205,C,B,basic,194,1009,1203,0
sample_206,B,B,basic,329,919,1248,1
sample_207,D,D,basic,220,720,940,1
sample_208,A,A,basic,259,857,1116,1
sample_209,B,B,basic,221,1384,1605,1
sample_210,A,A,basic,224,1141,1365,1
sample_211,C,C,basic,236,759,995,1
sample_212,B,D,basic,493,1652,2145,0
sample_213,E,A,basic,338,866,1204,0
sample_214,A,A,basic,281,912,1193,1
sample_215,B,B,basic,255,1193,1448,1
sample_216,D,D,basic,253,1435,1688,1
sample_217,E,E,basic,330,1404,1734,1
sample_218,D,D,basic,312,990,1302,1
sample_219,E,E,basic,197,421,618,1
sample_220,A,A,basic,355,1077,1432,1
sample_221,D,D,basic,378,1161,1539,1
sample_222,A,A,basic,247,1644,1891,1
sample_223,D,A,basic,315,785,1100,0
sample_224,A,A,basic,288,1079,1367,1
sample_225,C,C,basic,247,1107,1354,1
sample_226,C,C,basic,176,460,636,1
sample_227,D,D,basic,425,962,1387,1
sample_228,D,B,basic,265,1189,1454,0
sample_229,A,A,basic,544,1428,1972,1
sample_230,E,E,basic,588,1410,1998,1
sample_231,C,C,basic,245,1060,1305,1
sample_232,A,A,basic,269,1224,1493,1
sample_233,D,D,basic,326,1373,1699,1
sample_234,B,B,basic,219,774,993,1
sample_235,D,E,basic,323,1033,1356,0
sample_236,B,B,basic,248,880,1128,1
sample_237,A,A,basic,212,796,1008,1
sample_238,B,E,basic,364,1139,1503,0
sample_239,B,C,basic,297,5869,6166,0
sample_240,A,A,basic,307,1225,1532,1
sample_241,E,E,basic,391,812,1203,1
sample_242,B,A,basic,376,1058,1434,0
sample_243,A,A,basic,380,1262,1642,1
sample_244,A,C,basic,288,715,1003,0
sample_245,E,E,basic,195,1317,1512,1
sample_246,D,D,basic,421,1509,1930,1
sample_247,A,A,basic,340,2817,3157,1
sample_248,D,D,basic,330,956,1286,1
sample_249,C,C,basic,215,1163,1378,1
sample_250,B,B,basic,285,1540,1825,1
sample_251,A,D,basic,288,758,1046,0
sample_252,B,B,basic,216,683,899,1
sample_253,A,A,basic,334,665,999,1
sample_254,D,D,basic,327,1432,1759,1
sample_255,A,A,basic,258,888,1146,1
sample_256,C,C,basic,186,730,916,1
sample_257,D,D,basic,237,1527,1764,1
sample_258,D,D,basic,247,1117,1364,1
sample_259,E,E,basic,312,3436,3748,1
sample_260,D,D,basic,281,570,851,1
sample_261,C,C,basic,422,2502,2924,1
sample_262,C,C,basic,262,885,1147,1
sample_263,E,E,basic,299,1172,1471,1
sample_264,C,C,basic,257,1671,1928,1
sample_265,A,A,basic,483,1280,1763,1
sample_266,E,A,basic,251,1055,1306,0
sample_267,B,B,basic,362,1666,2028,1
sample_268,E,,basic,175,6803,6978,0
sample_269,E,E,basic,301,966,1267,1
sample_270,D,D,basic,257,878,1135,1
sample_271,C,C,basic,262,854,1116,1
sample_272,B,D,basic,418,1031,1449,0
sample_273,C,C,basic,222,936,1158,1
sample_274,A,A,basic,367,1249,1616,1
sample_275,A,A,basic,253,1044,1297,1
sample_276,A,A,basic,315,587,902,1
sample_277,C,C,basic,426,910,1336,1
sample_278,D,D,basic,268,1026,1294,1
sample_279,A,A,basic,318,1194,1512,1
sample_280,B,B,basic,418,1256,1674,1
sample_281,B,B,basic,377,853,1230,1
sample_282,D,D,basic,203,764,967,1
sample_283,A,A,basic,240,1052,1292,1
sample_284,A,A,basic,368,958,1326,1
sample_285,B,C,basic,363,1603,1966,0
sample_286,D,A,basic,316,3272,3588,0
sample_287,D,D,basic,211,643,854,1
sample_288,A,A,basic,432,1097,1529,1
sample_289,B,B,basic,265,1175,1440,1
sample_290,D,D,basic,258,1010,1268,1
sample_291,B,A,basic,303,707,1010,0
sample_292,A,A,basic,288,690,978,1
sample_293,D,D,basic,234,662,896,1
sample_294,A,A,basic,340,746,1086,1
sample_295,A,A,basic,177,736,913,1
sample_296,B,B,basic,190,591,781,1
sample_297,A,A,basic,230,1227,1457,1
sample_298,D,D,basic,373,1120,1493,1
sample_299,E,E,basic,296,1165,1461,1
sample_300,B,,basic,187,695,882,0
sample_301,D,D,basic,246,2862,3108,1
sample_302,D,D,basic,219,869,1088,1
sample_303,A,A,basic,316,1292,1608,1
sample_304,D,A,basic,635,1172,1807,0
sample_305,A,A,basic,373,1560,1933,1
sample_306,B,B,basic,241,902,1143,1
sample_307,C,C,basic,365,1447,1812,1
sample_308,C,B,basic,391,1430,1821,0
sample_309,C,C,basic,196,1002,1198,1
sample_310,D,D,basic,401,1180,1581,1
sample_311,B,B,basic,223,796,1019,1
sample_312,D,D,basic,260,963,1223,1
sample_313,B,B,basic,254,1023,1277,1
sample_314,B,B,basic,354,937,1291,1
sample_315,A,A,basic,278,1856,2134,1
sample_316,B,B,basic,256,1021,1277,1
sample_317,A,A,basic,256,813,1069,1
sample_318,B,B,basic,252,2970,3222,1
sample_319,C,C,basic,247,1044,1291,1
sample_320,B,B,basic,358,1234,1592,1
sample_321,D,B,basic,272,941,1213,0
sample_322,A,B,basic,314,1268,1582,0
sample_323,D,E,basic,382,2327,2709,0
sample_324,C,C,basic,291,1013,1304,1
sample_325,A,A,basic,470,1333,1803,1
sample_326,C,C,basic,259,1070,1329,1
sample_327,B,B,basic,294,1141,1435,1
sample_328,A,A,basic,259,1144,1403,1
sample_329,B,B,basic,318,887,1205,1
sample_330,B,A,basic,379,1326,1705,0
sample_331,C,C,basic,245,1288,1533,1
