question_id,label,response,difficulty,input_tokens,output_tokens,total_tokens,correct
sample_1,C,C,intermediate,29129,5210,34339,1
sample_2,B,B,intermediate,31395,7415,38810,1
sample_3,D,D,intermediate,36042,7167,43209,1
sample_4,D,D,intermediate,39982,7325,47307,1
sample_5,B,B,intermediate,54054,6062,60116,1
sample_6,B,B,intermediate,33288,7018,40306,1
sample_7,A,B,intermediate,296636,9104,305740,0
sample_8,A,A,intermediate,36666,7513,44179,1
sample_9,C,C,intermediate,258175,9253,267428,1
sample_10,C,C,intermediate,36768,7623,44391,1
sample_11,C,C,intermediate,35768,7357,43125,1
sample_12,E,E,intermediate,28749,6134,34883,1
sample_13,B,B,intermediate,301143,14611,315754,1
sample_14,C,A,intermediate,33122,6814,39936,0
sample_15,A,B,intermediate,30217,6479,36696,0
sample_16,E,C,intermediate,33609,6333,39942,0
sample_17,A,A,intermediate,29879,5454,35333,1
sample_18,D,D,intermediate,42177,6348,48525,1
sample_19,D,B,intermediate,303846,11515,315361,0
sample_20,A,A,intermediate,30719,5292,36011,1
sample_21,A,C,intermediate,205405,9944,215349,0
sample_22,B,B,intermediate,29320,5376,34696,1
sample_23,B,B,intermediate,34627,6874,41501,1
sample_24,C,C,intermediate,25702,5291,30993,1
sample_25,E,E,intermediate,31038,7733,38771,1
sample_26,D,D,intermediate,69918,7192,77110,1
sample_27,D,B,intermediate,30153,6155,36308,0
sample_28,D,D,intermediate,25867,5187,31054,1
sample_29,B,B,intermediate,177158,8815,185973,1
sample_30,D,D,intermediate,36711,6375,43086,1
sample_31,D,D,intermediate,81958,8975,90933,1
sample_32,B,B,intermediate,31450,6859,38309,1
sample_33,B,B,intermediate,478473,15380,493853,1
sample_34,D,D,intermediate,28788,5578,34366,1
sample_35,B,D,intermediate,79481,7149,86630,0
sample_36,C,C,intermediate,27130,6533,33663,1
sample_37,A,A,intermediate,66826,6658,73484,1
sample_38,E,B,intermediate,265460,11053,276513,0
sample_39,D,D,intermediate,28229,5431,33660,1
sample_40,C,B,intermediate,323781,13767,337548,0
sample_41,D,D,intermediate,35743,7317,43060,1
sample_42,D,A,intermediate,42904,7121,50025,0
sample_43,D,E,intermediate,26608,6051,32659,0
sample_44,A,D,intermediate,31831,6585,38416,0
sample_45,A,A,intermediate,65056,7413,72469,1
sample_46,E,E,intermediate,129029,10001,139030,1
sample_47,A,A,intermediate,32878,6821,39699,1
sample_48,A,D,intermediate,29947,6474,36421,0
sample_49,C,C,intermediate,423249,12742,435991,1
sample_50,A,A,intermediate,37180,6628,43808,1
sample_51,C,C,intermediate,81566,7609,89175,1
sample_52,B,D,intermediate,31834,6026,37860,0
sample_53,D,D,intermediate,33053,7116,40169,1
sample_54,D,D,intermediate,34133,6985,41118,1
sample_55,E,E,intermediate,26386,5183,31569,1
sample_56,C,B,intermediate,207236,7615,214851,0
sample_57,D,D,intermediate,28834,5537,34371,1
sample_58,B,B,intermediate,26462,5730,32192,1
sample_59,B,B,intermediate,28064,6061,34125,1
sample_60,D,B,intermediate,28890,6972,35862,0
sample_61,A,B,intermediate,355572,13645,369217,0
sample_62,C,D,intermediate,63670,7605,71275,0
sample_63,A,A,intermediate,36083,6861,42944,1
