question_id,label,response,difficulty,input_tokens,output_tokens,total_tokens,correct
sample_1,E,B,basic,760,253,1013,0
sample_2,E,E,basic,930,424,1354,1
sample_3,B,B,basic,1029,409,1438,1
sample_4,D,A,basic,893,403,1296,0
sample_5,C,C,basic,948,379,1327,1
sample_6,A,C,basic,1086,601,1687,0
sample_7,E,E,basic,1050,255,1305,1
sample_8,B,B,basic,894,389,1283,1
sample_9,E,E,basic,915,348,1263,1
sample_10,D,D,basic,1462,904,2366,1
sample_11,E,D,basic,1569,863,2432,0
sample_12,E,C,basic,1046,448,1494,0
sample_13,D,D,basic,1883,1181,3064,1
sample_14,E,B,basic,1461,727,2188,0
sample_15,E,E,basic,997,573,1570,1
sample_16,E,E,basic,1134,469,1603,1
sample_17,A,A,intermediate,29228,6566,35794,1
sample_18,D,A,intermediate,64966,10142,75108,0
sample_19,E,E,intermediate,85244,9131,94375,1
sample_20,A,A,basic,1029,496,1525,1
sample_21,E,D,basic,1502,1022,2524,0
sample_22,E,E,basic,1258,422,1680,1
sample_23,A,A,basic,1086,526,1612,1
sample_24,C,C,basic,1339,930,2269,1
sample_25,C,C,basic,1217,588,1805,1
sample_26,D,D,basic,1717,1100,2817,1
sample_27,E,E,basic,983,579,1562,1
sample_28,A,A,intermediate,194533,11052,205585,1
sample_29,D,D,basic,828,345,1173,1
sample_30,D,D,basic,982,514,1496,1
sample_31,B,B,basic,888,370,1258,1
sample_32,B,B,basic,1528,894,2422,1
sample_33,C,C,basic,1100,707,1807,1
sample_34,D,D,basic,1154,573,1727,1
sample_35,A,A,basic,851,386,1237,1
sample_36,D,A,basic,997,255,1252,0
sample_37,C,C,basic,893,290,1183,1
sample_38,B,B,basic,1058,448,1506,1
sample_39,C,A,intermediate,92417,9932,102349,0
sample_40,A,C,basic,939,411,1350,0
sample_41,B,B,basic,1041,627,1668,1
sample_42,C,C,basic,1064,546,1610,1
sample_43,C,C,intermediate,79571,8467,88038,1
sample_44,D,D,basic,1619,602,2221,1
sample_45,B,B,basic,950,317,1267,1
sample_46,D,D,basic,1731,1163,2894,1
sample_47,B,B,basic,775,256,1031,1
sample_48,C,C,basic,913,412,1325,1
sample_49,C,C,basic,820,300,1120,1
sample_50,A,A,basic,1265,774,2039,1
sample_51,D,D,intermediate,1551052,35068,1586120,1
sample_52,D,D,intermediate,1189562,35715,1225277,1
sample_53,E,E,basic,1108,645,1753,1
sample_54,B,B,basic,1257,553,1810,1
sample_55,E,E,basic,1047,397,1444,1
sample_56,B,B,basic,1616,1199,2815,1
sample_57,A,C,basic,1076,449,1525,0
sample_58,D,D,basic,872,301,1173,1
sample_59,B,B,intermediate,81392,9092,90484,1
sample_60,C,D,basic,873,265,1138,0
sample_61,C,C,basic,1099,422,1521,1
sample_62,A,A,basic,991,470,1461,1
sample_63,B,B,basic,1186,705,1891,1
sample_64,D,D,intermediate,45480,7907,53387,1
sample_65,E,A,basic,1002,320,1322,0
sample_66,E,E,basic,1454,1022,2476,1
sample_67,A,A,basic,1092,502,1594,1
sample_68,A,A,basic,956,350,1306,1
sample_69,D,D,basic,1386,650,2036,1
sample_70,E,C,advanced,4181,3960,8141,0
sample_71,A,A,basic,826,320,1146,1
sample_72,D,A,basic,1191,503,1694,0
sample_73,A,A,intermediate,52074,8705,60779,1
sample_74,B,B,advanced,4869,4997,9866,1
sample_75,B,B,intermediate,464309,17406,481715,1
sample_76,D,D,basic,912,367,1279,1
sample_77,A,C,basic,796,263,1059,0
sample_78,E,E,basic,943,383,1326,1
sample_79,E,E,basic,1020,431,1451,1
sample_80,E,E,basic,1560,1050,2610,1
sample_81,C,C,basic,1709,1126,2835,1
sample_82,B,B,basic,785,331,1116,1
sample_83,C,B,intermediate,123868,10598,134466,0
sample_84,E,E,basic,1315,703,2018,1
sample_85,C,C,basic,1006,535,1541,1
sample_86,C,C,basic,2189,1604,3793,1
sample_87,A,A,basic,1233,714,1947,1
sample_88,D,D,basic,998,500,1498,1
sample_89,B,,advanced,4895,4553,9448,0
sample_90,B,B,basic,1292,781,2073,1
sample_91,D,C,basic,1465,840,2305,0
sample_92,C,A,basic,735,325,1060,0
sample_93,D,D,basic,1492,1006,2498,1
sample_94,A,A,basic,891,339,1230,1
sample_95,B,B,basic,906,423,1329,1
sample_96,A,A,intermediate,26869,8345,35214,1
sample_97,C,C,basic,1597,1058,2655,1
sample_98,E,A,basic,1285,571,1856,0
sample_99,B,A,basic,949,378,1327,0
sample_100,D,D,basic,1146,572,1718,1
sample_101,E,E,basic,949,513,1462,1
sample_102,A,A,basic,889,353,1242,1
sample_103,A,A,basic,929,292,1221,1
sample_104,C,B,intermediate,38801,8904,47705,0
sample_105,C,B,basic,1050,649,1699,0
sample_106,D,D,advanced,3811,3611,7422,1
sample_107,C,C,intermediate,75133,8503,83636,1
sample_108,A,C,basic,1117,519,1636,0
sample_109,B,B,basic,1275,811,2086,1
sample_110,B,C,basic,878,316,1194,0
sample_111,A,A,basic,1210,707,1917,1
sample_112,E,E,advanced,5262,4668,9930,1
sample_113,E,B,basic,890,475,1365,0
sample_114,D,,advanced,5505,4848,10353,0
sample_115,B,B,basic,1423,785,2208,1
sample_116,B,B,basic,1438,947,2385,1
sample_117,D,D,basic,1205,671,1876,1
sample_118,D,D,basic,922,297,1219,1
sample_119,C,C,basic,1012,430,1442,1
sample_120,C,C,intermediate,46054,8823,54877,1
sample_121,E,C,basic,1352,956,2308,0
sample_122,E,E,basic,973,303,1276,1
sample_123,B,D,intermediate,1303950,33018,1336968,0
sample_124,A,A,basic,1133,569,1702,1
sample_125,A,A,basic,1633,940,2573,1
sample_126,D,D,basic,982,516,1498,1
sample_127,A,A,basic,1107,578,1685,1
sample_128,D,D,basic,1346,870,2216,1
sample_129,B,A,basic,1308,656,1964,0
sample_130,D,B,basic,1072,545,1617,0
sample_131,A,A,basic,1197,473,1670,1
sample_132,A,A,basic,890,475,1365,1
sample_133,B,B,basic,1028,569,1597,1
sample_134,A,A,basic,1296,769,2065,1
sample_135,D,D,basic,886,139,1025,1
sample_136,B,E,basic,1097,667,1764,0
sample_137,D,A,basic,1786,1991,3777,0
sample_138,D,B,basic,933,428,1361,0
sample_139,B,,advanced,4094,4015,8109,0
sample_140,C,C,basic,1134,695,1829,1
sample_141,D,D,advanced,4145,4194,8339,1
sample_142,B,B,basic,1053,551,1604,1
sample_143,B,B,intermediate,79789,11805,91594,1
sample_144,A,B,basic,1228,624,1852,0
sample_145,B,B,basic,1513,962,2475,1
sample_146,C,C,basic,1639,1078,2717,1
sample_147,B,B,basic,978,283,1261,1
sample_148,B,B,basic,947,526,1473,1
sample_149,A,A,basic,1385,786,2171,1
sample_150,B,B,basic,987,443,1430,1
sample_151,A,B,intermediate,111114,10962,122076,0
sample_152,C,A,basic,1425,788,2213,0
sample_153,C,E,basic,671,198,869,0
sample_154,A,A,basic,1138,453,1591,1
sample_155,D,B,basic,1196,610,1806,0
sample_156,A,A,intermediate,106775,9764,116539,1
sample_157,D,D,basic,822,210,1032,1
sample_158,A,A,basic,1315,664,1979,1
sample_159,A,D,basic,1489,915,2404,0
sample_160,B,D,basic,1088,501,1589,0
sample_161,D,D,basic,801,367,1168,1
sample_162,D,D,basic,1052,476,1528,1
sample_163,A,A,intermediate,82558,9434,91992,1
sample_164,E,D,basic,1095,622,1717,0
sample_165,E,E,basic,1163,475,1638,1
sample_166,D,A,basic,1442,383,1825,0
sample_167,C,B,intermediate,176517,10088,186605,0
sample_168,C,C,intermediate,97589,10752,108341,1
sample_169,E,E,intermediate,28788,7466,36254,1
sample_170,C,C,basic,1435,517,1952,1
sample_171,D,D,basic,1007,469,1476,1
sample_172,A,A,basic,1088,321,1409,1
sample_173,C,C,basic,1269,431,1700,1
sample_174,A,A,basic,937,307,1244,1
sample_175,C,C,intermediate,26408,6001,32409,1
sample_176,B,A,intermediate,1210286,27123,1237409,0
sample_177,C,C,basic,1798,1243,3041,1
sample_178,A,A,advanced,3154,3925,7079,1
sample_179,A,C,basic,1257,593,1850,0
sample_180,C,C,basic,837,384,1221,1
sample_181,A,A,intermediate,31601,6663,38264,1
sample_182,C,C,intermediate,106187,12196,118383,1
sample_183,C,C,basic,1465,884,2349,1
sample_184,E,E,basic,1102,402,1504,1
sample_185,D,D,basic,967,360,1327,1
sample_186,B,E,basic,935,453,1388,0
sample_187,C,C,basic,820,336,1156,1
sample_188,B,B,basic,1424,963,2387,1
sample_189,D,D,basic,1192,517,1709,1
sample_190,C,C,basic,1372,653,2025,1
sample_191,C,C,basic,1120,540,1660,1
sample_192,A,A,basic,827,354,1181,1
sample_193,A,A,basic,1199,442,1641,1
sample_194,E,E,basic,962,313,1275,1
sample_195,C,C,basic,1180,611,1791,1
sample_196,A,A,basic,1266,479,1745,1
sample_197,B,B,basic,1154,682,1836,1
sample_198,E,E,basic,1387,857,2244,1
sample_199,E,A,advanced,4370,4542,8912,0
sample_200,D,D,basic,994,403,1397,1
sample_201,E,,advanced,5092,3991,9083,0
sample_202,A,A,basic,1531,812,2343,1
sample_203,C,C,advanced,3931,4450,8381,1
sample_204,D,D,basic,852,349,1201,1
sample_205,A,B,basic,1311,647,1958,0
sample_206,A,A,basic,895,290,1185,1
sample_207,D,E,basic,1205,708,1913,0
sample_208,D,D,basic,1603,988,2591,1
sample_209,D,D,basic,1435,860,2295,1
sample_210,B,E,basic,863,342,1205,0
sample_211,C,D,basic,842,436,1278,0
sample_212,A,A,basic,778,348,1126,1
sample_213,C,C,basic,903,430,1333,1
sample_214,D,D,basic,1398,856,2254,1
sample_215,E,,advanced,3821,3489,7310,0
sample_216,C,C,advanced,3837,4020,7857,1
sample_217,D,D,basic,1277,680,1957,1
sample_218,A,A,intermediate,66499,11704,78203,1
sample_219,D,D,basic,979,455,1434,1
sample_220,A,A,basic,968,209,1177,1
sample_221,D,A,basic,1135,377,1512,0
sample_222,A,B,basic,1286,687,1973,0
sample_223,A,B,basic,1514,922,2436,0
sample_224,A,A,basic,1451,588,2039,1
sample_225,B,D,basic,854,235,1089,0
sample_226,B,B,basic,1122,632,1754,1
sample_227,B,B,basic,856,366,1222,1
sample_228,A,A,intermediate,471935,20919,492854,1
sample_229,A,A,intermediate,115210,11034,126244,1
sample_230,B,A,basic,1215,603,1818,0
sample_231,E,E,basic,975,298,1273,1
sample_232,B,C,intermediate,113038,12607,125645,0
sample_233,B,B,basic,1298,741,2039,1
sample_234,E,E,basic,804,385,1189,1
sample_235,C,C,basic,1088,404,1492,1
sample_236,B,B,intermediate,63267,8301,71568,1
sample_237,D,D,basic,2381,287,2668,1
sample_238,E,,advanced,3855,2994,6849,0
sample_239,A,B,basic,949,344,1293,0
sample_240,A,D,basic,1662,904,2566,0
sample_241,C,C,basic,1055,455,1510,1
sample_242,D,D,basic,903,273,1176,1
sample_243,B,A,intermediate,348948,16538,365486,0
sample_244,A,A,basic,830,387,1217,1
sample_245,B,B,intermediate,29864,7972,37836,1
sample_246,A,A,intermediate,48306,9701,58007,1
sample_247,C,,advanced,3881,3606,7487,0
sample_248,B,B,basic,1449,1075,2524,1
sample_249,B,B,basic,1405,866,2271,1
sample_250,B,C,basic,1262,464,1726,0
sample_251,A,A,basic,1088,441,1529,1
sample_252,C,C,intermediate,138776,10931,149707,1
sample_253,C,A,advanced,4897,5142,10039,0
sample_254,C,C,basic,780,339,1119,1
sample_255,C,D,basic,825,316,1141,0
sample_256,E,A,basic,1012,276,1288,0
sample_257,B,B,intermediate,1125233,26631,1151864,1
sample_258,E,E,basic,1281,719,2000,1
sample_259,E,E,intermediate,117422,11019,128441,1
sample_260,B,B,intermediate,119725,13081,132806,1
sample_261,A,A,basic,1028,309,1337,1
sample_262,E,E,basic,1387,770,2157,1
sample_263,C,C,intermediate,148467,13226,161693,1
sample_264,B,B,basic,1158,666,1824,1
sample_265,D,D,basic,903,380,1283,1
sample_266,B,B,intermediate,82543,10500,93043,1
sample_267,A,,advanced,5117,4722,9839,0
sample_268,D,B,intermediate,185603,12800,198403,0
sample_269,B,D,advanced,4912,6103,11015,0
sample_270,D,,advanced,4564,4726,9290,0
sample_271,D,D,basic,1022,358,1380,1
sample_272,E,A,basic,952,276,1228,0
sample_273,C,,advanced,4782,4450,9232,0
sample_274,B,B,intermediate,780752,19798,800550,1
sample_275,E,E,basic,1613,944,2557,1
sample_276,A,A,basic,928,322,1250,1
sample_277,A,A,basic,981,477,1458,1
